# {"t_start": 1602448160.086903, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,10,2.567224
0.0,5,2.568921
0.0,3,2.569932
0.0,4,2.571279
0.0,3,2.572466
0.0,7,2.574853
0.0,11,2.578842
0.0,2,2.579655
0.0,2,2.580355
0.0,5,2.582154
0.0,5,2.58399
0.0,2,2.584625
0.0,7,2.586885
0.0,10,2.59026
0.0,5,2.591964
0.0,6,2.593899
0.0,13,2.599165
0.0,6,2.60121
0.0,6,2.603305
0.0,8,2.605968
0.0,8,2.6086
1.0,21,2.615628
0.0,7,2.617907
0.0,9,2.621106
0.0,7,2.624289
0.0,5,2.626145
0.0,3,2.627143
0.0,3,2.628148
0.0,15,2.633338
0.0,4,2.634688
0.0,17,2.640888
0.0,5,2.642562
0.0,9,2.645522
0.0,13,2.65062
0.0,12,2.654696
0.0,2,2.655454
0.0,3,2.656451
0.0,4,2.657797
0.0,5,2.659503
0.0,3,2.660458
0.0,8,2.663299
0.0,8,2.666381
0.0,12,2.670221
0.0,12,2.674636
0.0,8,2.677384
0.0,4,2.678835
0.0,10,2.68202
0.0,6,2.684333
0.0,3,2.685352
0.0,5,2.686949
0.0,3,2.688002
0.0,4,2.689469
0.0,13,2.693703
0.0,5,2.695419
0.0,6,2.697865
0.0,2,2.69895
0.0,6,2.70114
0.0,8,2.703761
0.0,3,2.704774
0.0,15,2.709734
0.0,9,2.712728
0.0,9,2.715771
0.0,4,2.717187
0.0,2,2.718083
0.0,6,2.72105
0.0,10,2.724768
0.0,3,2.726152
0.0,8,2.729747
0.0,13,2.735357
0.0,4,2.736798
0.0,6,2.738928
0.0,4,2.740268
0.0,4,2.74165
0.0,7,2.743967
0.0,15,2.749385
0.0,5,2.751068
0.0,2,2.751789
0.0,5,2.753513
0.0,37,2.766998
0.0,9,2.769946
0.0,2,2.770633
1.0,14,2.776776
0.0,10,2.782624
0.0,3,2.784447
0.0,13,2.790069
0.0,4,2.79143
0.0,9,2.794489
0.0,15,2.799759
0.0,10,2.803198
0.0,3,2.804241
0.0,6,2.806353
0.0,6,2.808323
0.0,5,2.810117
0.0,14,2.815099
0.0,3,2.816176
0.0,5,2.818797
0.0,10,2.823647
0.0,17,2.832089
0.0,11,2.837145
0.0,7,2.839556
0.0,2,2.840263
0.0,2,2.840999
0.0,4,2.842427
0.0,19,2.849245
