# {"t_start": 1602341425.2324522, "env_id": "CartPole-v1"} 
r,l,t
49.0,49,7.997885
24.0,24,8.006581
20.0,20,8.014193
54.0,54,8.034652
20.0,20,8.041942
88.0,88,8.086757
49.0,49,8.122678
21.0,21,8.134577
42.0,42,8.157212
32.0,32,8.235889
29.0,29,8.247625
19.0,19,8.253898
16.0,16,8.259919
21.0,21,8.268033
55.0,55,8.346479
82.0,82,8.399901
40.0,40,8.420752
30.0,30,8.435484
24.0,24,8.446428
35.0,35,8.460169
23.0,23,8.46808
17.0,17,8.474792
13.0,13,8.479848
13.0,13,8.484301
18.0,18,8.490977
89.0,89,8.522949
65.0,65,8.547946
59.0,59,8.56868
51.0,51,8.588457
39.0,39,8.616646
24.0,24,8.631015
15.0,15,8.639554
28.0,28,8.652981
15.0,15,8.660632
49.0,49,8.679822
24.0,24,8.691327
47.0,47,8.708498
34.0,34,8.721183
31.0,31,8.734421
49.0,49,8.779098
37.0,37,8.798567
22.0,22,8.810209
28.0,28,8.82154
45.0,45,8.838591
30.0,30,8.849232
41.0,41,8.868707
20.0,20,8.882223
27.0,27,8.895594
41.0,41,8.918994
25.0,25,8.942249
22.0,22,8.954566
16.0,16,8.967988
33.0,33,8.989235
18.0,18,8.99935
71.0,71,9.032188
25.0,25,9.040653
32.0,32,9.051636
13.0,13,9.056378
22.0,22,9.06379
30.0,30,9.073743
22.0,22,9.081493
22.0,22,9.089091
91.0,91,9.119226
20.0,20,9.12609
38.0,38,9.138783
57.0,57,9.157996
55.0,55,9.176133
19.0,19,9.182425
26.0,26,9.190985
12.0,12,9.195201
89.0,89,9.278901
60.0,60,9.299123
20.0,20,9.305711
57.0,57,9.324963
26.0,26,9.333365
36.0,36,9.345756
22.0,22,9.353638
42.0,42,9.367669
19.0,19,9.37388
93.0,93,9.404111
26.0,26,9.413239
19.0,19,9.419722
57.0,57,9.438765
52.0,52,9.456584
34.0,34,9.467967
25.0,25,9.475938
30.0,30,9.487081
19.0,19,9.493537
70.0,70,9.516936
12.0,12,9.520902
43.0,43,9.535465
